ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result,settle_ts,flb_train_ticker,subwindow
KXAAAGASD-26JUL22-4.050,KXAAAGASD-26JUL22,Economics,yes,268,268,0,90.0,24120,0,2680,0.1111111111111111,1784689200,1784721943,32743,yes,1784721943,False,CONTAMINATED
KXAAAGASD-26JUL24-4.100,KXAAAGASD-26JUL24,Economics,yes,235,235,0,98.0,23030,0,470,0.02040816326530612,1784854800,1784897726,42926,yes,1784897726,False,CONTAMINATED
KXAAAGASD-26JUL24-4.120,KXAAAGASD-26JUL24,Economics,no,387,387,0,98.0,37926,0,774,0.02040816326530612,1784854800,1784897726,42926,no,1784897726,False,CONTAMINATED
KXAAAGASD-26JUL24-4.115,KXAAAGASD-26JUL24,Economics,no,312,312,0,94.0,29328,0,1872,0.06382978723404255,1784858400,1784897726,39326,no,1784897726,False,CONTAMINATED
KXAAAGASD-26JUL25-4.115,KXAAAGASD-26JUL25,Economics,no,154,154,0,92.0,14168,0,1232,0.08695652173913043,1784934000,1784980226,46226,no,1784980226,False,CONTAMINATED
KXAAAGASD-26JUL26-4.120,KXAAAGASD-26JUL26,Economics,no,308,308,0,94.0,28952,0,1848,0.06382978723404255,1785020400,1785071146,50746,no,1785071146,False,CONTAMINATED
KXAAAGASD-26JUL26-4.125,KXAAAGASD-26JUL26,Economics,no,510,510,0,98.0,49980,0,1020,0.02040816326530612,1785034800,1785071146,36346,no,1785071146,False,CONTAMINATED
KXAAAGASD-26JUL27-4.115,KXAAAGASD-26JUL27,Economics,no,531,531,0,94.0,49914,0,3186,0.06382978723404255,1785106800,1785157826,51026,no,1785157826,False,CONTAMINATED
KXAAAGASD-26JUL27-4.120,KXAAAGASD-26JUL27,Economics,no,217,217,0,98.0,21266,0,434,0.02040816326530612,1785110400,1785157826,47426,no,1785157826,False,CONTAMINATED
KXAAAGASW-26JUL27-4.116,KXAAAGASW-26JUL27,Economics,no,166,166,0,98.0,16268,0,332,0.02040816326530612,1785114000,1785157746,43746,no,1785157746,False,CONTAMINATED
