ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result,settle_ts,flb_train_ticker,subwindow
KXHIGHCHI-24NOV18-B59.5,KXHIGHCHI-24NOV18,Climate and Weather,yes,531,531,0,94.0,49914,0,-49914,-1.0,1731983893,1732021239,37346,no,1732021239,False,CLEAN
KXHIGHCHI-24NOV21-T45,KXHIGHCHI-24NOV21,Climate and Weather,no,84,84,0,98.0,8232,0,168,0.02040816326530612,1732237200,1732280469,43269,no,1732280469,False,CLEAN
KXHIGHCHI-24NOV21-B40.5,KXHIGHCHI-24NOV21,Climate and Weather,yes,526,526,0,95.0,49970,0,2630,0.05263157894736842,1732244400,1732280469,36069,yes,1732280469,False,CLEAN
KXHIGHCHI-24NOV21-B42.5,KXHIGHCHI-24NOV21,Climate and Weather,no,531,531,0,94.0,49914,0,3186,0.06382978723404255,1732244400,1732280469,36069,no,1732280469,False,CLEAN
KXAAAGASW-24NOV25-US-3.071,KXAAAGASW-24NOV25-US,Economics,no,81,81,0,97.0,7857,0,243,0.030927835051546393,1732493502,1732550939,57437,no,1732550939,False,CLEAN
KXHIGHNY-24NOV25-B56.5,KXHIGHNY-24NOV25,Climate and Weather,no,515,515,0,97.0,49955,0,1545,0.030927835051546393,1732593600,1732626037,32437,no,1732626037,False,CLEAN
KXMICROS-25,KXMICROS-25,Politics,yes,164,164,0,94.0,15416,0,984,0.06382978723404255,1733151600,1733168109,16509,yes,1733168109,False,CLEAN
KXHIGHNY-24DEC04-B43.5,KXHIGHNY-24DEC04,Climate and Weather,no,510,510,0,98.0,49980,0,1020,0.02040816326530612,1733356800,1733408390,51590,no,1733408390,False,CLEAN
KXHIGHNY-24DEC10-B54.5,KXHIGHNY-24DEC10,Climate and Weather,no,311,311,0,95.0,29545,0,1555,0.05263157894736842,1733875200,1733922070,46870,no,1733922070,False,CLEAN
KXHIGHAUS-24DEC13-B65.5,KXHIGHAUS-24DEC13,Climate and Weather,yes,27,27,0,98.0,2646,0,-2646,-1.0,1734148800,1734181266,32466,no,1734181266,False,CLEAN
KXHIGHNY-24DEC15-T42,KXHIGHNY-24DEC15,Climate and Weather,no,464,464,0,93.0,43152,0,3248,0.07526881720430108,1734310800,1734354034,43234,no,1734354034,False,CLEAN
KXTSAW-24DEC15-A2.35,KXTSAW-24DEC15,Economics,yes,6,6,0,92.0,552,0,48,0.08695652173913043,1734325101,1734361335,36234,yes,1734361335,False,CLEAN
KXGERMANYCONFIDENCE-26-JAN1,KXGERMANYCONFIDENCE-26,Politics,yes,432,432,0,97.0,41904,0,1296,0.030927835051546393,1734375600,1734378993,3393,yes,1734378993,False,CLEAN
KXHIGHNY-24DEC16-T52,KXHIGHNY-24DEC16,Climate and Weather,no,361,361,0,91.0,32851,0,3249,0.0989010989010989,1734393600,1734440505,46905,no,1734440505,False,CLEAN
KXHIGHCHI-24DEC19-B37.5,KXHIGHCHI-24DEC19,Climate and Weather,no,223,223,0,98.0,21854,0,446,0.02040816326530612,1734652800,1734699641,46841,no,1734699641,False,CLEAN
KXAAAGASW-24DEC23-US-3.024,KXAAAGASW-24DEC23-US,Economics,yes,24,24,0,97.0,2328,0,72,0.030927835051546393,1734912727,1734967430,54703,yes,1734967430,False,CLEAN
KXTSAW-24DEC22-A2.60,KXTSAW-24DEC22,Economics,no,41,41,0,97.0,3977,0,123,0.030927835051546393,1734919200,1734966126,46926,no,1734966126,False,CLEAN
KXHIGHCHI-24DEC23-T43,KXHIGHCHI-24DEC23,Climate and Weather,no,526,526,0,95.0,49970,0,2630,0.05263157894736842,1734998400,1735045235,46835,no,1735045235,False,CLEAN
KXHIGHPHIL-24DEC23-B29.5,KXHIGHPHIL-24DEC23,Climate and Weather,yes,229,229,0,94.0,21526,0,1374,0.06382978723404255,1735002000,1735041979,39979,yes,1735041979,False,CLEAN
KXHIGHNY-24DEC23-B28.5,KXHIGHNY-24DEC23,Climate and Weather,yes,326,326,0,92.0,29992,0,-29992,-1.0,1735003587,1735045225,41638,no,1735045225,False,CLEAN
KXHIGHNY-24DEC23-B32.5,KXHIGHNY-24DEC23,Climate and Weather,no,510,510,0,98.0,49980,0,1020,0.02040816326530612,1735012800,1735045225,32425,no,1735045225,False,CLEAN
KXHIGHCHI-24DEC25-B41.5,KXHIGHCHI-24DEC25,Climate and Weather,no,32,32,0,92.0,2944,0,256,0.08695652173913043,1735178400,1735218072,39672,no,1735218072,False,CLEAN
KXHIGHCHI-24DEC25-B39.5,KXHIGHCHI-24DEC25,Climate and Weather,yes,110,110,0,90.0,9900,0,1100,0.1111111111111111,1735182000,1735218072,36072,yes,1735218072,False,CLEAN
KXHIGHNY-24DEC27-B41.5,KXHIGHNY-24DEC27,Climate and Weather,yes,240,240,0,94.0,22560,0,-22560,-1.0,1735349243,1735390854,41611,no,1735390854,False,CLEAN
KXHIGHPHIL-24DEC28-T54,KXHIGHPHIL-24DEC28,Climate and Weather,no,510,510,0,98.0,49980,0,1020,0.02040816326530612,1735430400,1735473954,43554,no,1735473954,False,CLEAN
KXHIGHNY-24DEC29-B57.5,KXHIGHNY-24DEC29,Climate and Weather,no,237,237,0,98.0,23226,0,474,0.02040816326530612,1735527600,1735563636,36036,no,1735563636,False,CLEAN
KXTSAW-24DEC29-A2.50,KXTSAW-24DEC29,Economics,yes,1,1,0,98.0,98,0,2,0.02040816326530612,1735531729,1735570952,39223,yes,1735570952,False,CLEAN
KXHIGHCHI-24DEC30-B44.5,KXHIGHCHI-24DEC30,Climate and Weather,no,515,515,0,97.0,49955,0,1545,0.030927835051546393,1735614000,1735650027,36027,no,1735650027,False,CLEAN
KXSPEAKERVOTE-25-4,KXSPEAKERVOTE-25,Politics,no,11,11,0,91.0,1001,0,99,0.0989010989010989,1735930800,1735939664,8864,no,1735939664,False,CLEAN
KXCAPMLEAVE-24-25APR01,KXCAPMLEAVE-24,Politics,yes,520,520,0,96.0,49920,0,2080,0.041666666666666664,1736179345,1736182541,3196,yes,1736182541,False,CLEAN
POPVOTEKHNM-2024-D-T6,POPVOTEKHNM-2024,Politics,no,13,13,0,97.0,1261,0,39,0.030927835051546393,1736189199,1736194601,5402,no,1736194601,False,CLEAN
KXHIGHPHIL-25JAN06-B32.5,KXHIGHPHIL-25JAN06,Climate and Weather,no,22,22,0,93.0,2046,0,154,0.07526881720430108,1736208000,1736251792,43792,no,1736251792,False,CLEAN
